name,region,date,value
Number of applications for consumer loans,Bryansk region,2014-10-15,7721
Number of applications for consumer loans,Bryansk region,2014-11-15,6862
Number of applications for consumer loans,Bryansk region,2014-12-15,7581
Number of applications for consumer loans,Bryansk region,2015-01-15,2140
Number of applications for consumer loans,Bryansk region,2015-02-15,2771
Number of applications for consumer loans,Bryansk region,2015-03-15,3325
Number of applications for consumer loans,Bryansk region,2015-04-15,4061
Number of applications for consumer loans,Bryansk region,2015-05-15,4063
Number of applications for consumer loans,Bryansk region,2015-06-15,7749
Number of applications for consumer loans,Bryansk region,2015-07-15,8634
Number of applications for consumer loans,Bryansk region,2015-08-15,6972
Number of applications for consumer loans,Bryansk region,2015-09-15,6706
Number of applications for consumer loans,Bryansk region,2015-10-15,6203
Number of applications for consumer loans,Bryansk region,2015-11-15,5725
Number of applications for consumer loans,Bryansk region,2015-12-15,7607
Number of applications for consumer loans,Bryansk region,2016-01-15,4517
Number of applications for consumer loans,Bryansk region,2016-02-15,5109
Number of applications for consumer loans,Bryansk region,2016-03-15,6103
Number of applications for consumer loans,Bryansk region,2016-04-15,6475
Number of applications for consumer loans,Bryansk region,2016-05-15,6661
Number of applications for consumer loans,Bryansk region,2016-06-15,7157
Number of applications for consumer loans,Bryansk region,2016-07-15,7412
Number of applications for consumer loans,Bryansk region,2016-08-15,7804
Number of applications for consumer loans,Bryansk region,2016-09-15,7204
Number of applications for consumer loans,Bryansk region,2016-10-15,6574
Number of applications for consumer loans,Bryansk region,2016-11-15,6989
Number of applications for consumer loans,Bryansk region,2016-12-15,7476
Number of applications for consumer loans,Bryansk region,2017-01-15,5162
Number of applications for consumer loans,Bryansk region,2017-02-15,5118
Number of applications for consumer loans,Bryansk region,2017-03-15,6976
Number of applications for consumer loans,Bryansk region,2017-04-15,5950
Number of applications for consumer loans,Vladimir region,2013-01-15,4200
Number of applications for consumer loans,Vladimir region,2013-02-15,3077
Number of applications for consumer loans,Vladimir region,2013-03-15,3863
Number of applications for consumer loans,Vladimir region,2013-04-15,5722
Number of applications for consumer loans,Vladimir region,2013-05-15,6444
Number of applications for consumer loans,Vladimir region,2013-06-15,5301
Number of applications for consumer loans,Vladimir region,2013-07-15,6565
Number of applications for consumer loans,Vladimir region,2013-08-15,7395
Number of applications for consumer loans,Vladimir region,2013-09-15,8745
Number of applications for consumer loans,Vladimir region,2013-10-15,8362
Number of applications for consumer loans,Vladimir region,2013-11-15,9125
Number of applications for consumer loans,Vladimir region,2013-12-15,10518
Number of applications for consumer loans,Vladimir region,2014-01-15,5408
Number of applications for consumer loans,Vladimir region,2014-02-15,7724
Number of applications for consumer loans,Vladimir region,2014-03-15,7719
Number of applications for consumer loans,Vladimir region,2014-04-15,9253
Number of applications for consumer loans,Vladimir region,2014-05-15,8154
Number of applications for consumer loans,Vladimir region,2014-06-15,8813
Number of applications for consumer loans,Vladimir region,2014-07-15,10087
Number of applications for consumer loans,Vladimir region,2014-08-15,9102
Number of applications for consumer loans,Vladimir region,2014-09-15,7809
Number of applications for consumer loans,Vladimir region,2014-10-15,7727
Number of applications for consumer loans,Vladimir region,2014-11-15,6877
Number of applications for consumer loans,Vladimir region,2014-12-15,6660
Number of applications for consumer loans,Vladimir region,2015-01-15,2106
Number of applications for consumer loans,Vladimir region,2015-02-15,2945
Number of applications for consumer loans,Vladimir region,2015-03-15,3492
Number of applications for consumer loans,Vladimir region,2015-04-15,4751
Number of applications for consumer loans,Vladimir region,2015-05-15,4108
Number of applications for consumer loans,Vladimir region,2015-06-15,8341
Number of applications for consumer loans,Vladimir region,2015-07-15,8245
Number of applications for consumer loans,Vladimir region,2015-08-15,7001
Number of applications for consumer loans,Vladimir region,2015-09-15,6536
Number of applications for consumer loans,Vladimir region,2015-10-15,6105
Number of applications for consumer loans,Vladimir region,2015-11-15,5415
Number of applications for consumer loans,Vladimir region,2015-12-15,7434
Number of applications for consumer loans,Vladimir region,2016-01-15,4555
Number of applications for consumer loans,Vladimir region,2016-02-15,5399
Number of applications for consumer loans,Vladimir region,2016-03-15,6194
Number of applications for consumer loans,Vladimir region,2016-04-15,6969
Number of applications for consumer loans,Vladimir region,2016-05-15,6833
Number of applications for consumer loans,Vladimir region,2016-06-15,7015
Number of applications for consumer loans,Vladimir region,2016-07-15,7257
Number of applications for consumer loans,Vladimir region,2016-08-15,7863
Number of applications for consumer loans,Vladimir region,2016-09-15,8138
Number of applications for consumer loans,Vladimir region,2016-10-15,6774
Number of applications for consumer loans,Vladimir region,2016-11-15,7819
Number of applications for consumer loans,Vladimir region,2016-12-15,8503
Number of applications for consumer loans,Vladimir region,2017-01-15,5589
Number of applications for consumer loans,Vladimir region,2017-02-15,6403
Number of applications for consumer loans,Vladimir region,2017-03-15,9029
Number of applications for consumer loans,Vladimir region,2017-04-15,7671
Number of applications for consumer loans,Volgograd region,2013-01-15,8046
Number of applications for consumer loans,Volgograd region,2013-02-15,7282
Number of applications for consumer loans,Volgograd region,2013-03-15,9333
Number of applications for consumer loans,Volgograd region,2013-04-15,11966
Number of applications for consumer loans,Volgograd region,2013-05-15,12809
Number of applications for consumer loans,Volgograd region,2013-06-15,11255
Number of applications for consumer loans,Volgograd region,2013-07-15,13419
Number of applications for consumer loans,Volgograd region,2013-08-15,13730
Number of applications for consumer loans,Volgograd region,2013-09-15,12569
Number of applications for consumer loans,Volgograd region,2013-10-15,13716
Number of applications for consumer loans,Volgograd region,2013-11-15,14489
Number of applications for consumer loans,Volgograd region,2013-12-15,17464
Number of applications for consumer loans,Volgograd region,2014-01-15,7374
Number of applications for consumer loans,Volgograd region,2014-02-15,11861
Number of applications for consumer loans,Volgograd region,2014-03-15,12937
Number of applications for consumer loans,Volgograd region,2014-04-15,15549
Number of applications for consumer loans,Volgograd region,2014-05-15,15085
Number of applications for consumer loans,Volgograd region,2014-06-15,15457
Number of applications for consumer loans,Volgograd region,2014-07-15,17539
Number of applications for consumer loans,Volgograd region,2014-08-15,16670
Number of applications for consumer loans,Volgograd region,2014-09-15,14657
Number of applications for consumer loans,Volgograd region,2014-10-15,14839
